,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000003402,2546.609326,1.183447518,0.163539129,7.236479281,4.60E-13,5.47E-11
ENSG00000004799,914.3705947,2.544058457,0.901175649,2.823043944,0.004757005,0.03596822
ENSG00000004846,17.99894488,-1.881300509,0.6998346,-2.68820734,0.007183678,0.049342567
ENSG00000005471,33.66369965,-1.218687262,0.434789205,-2.802938175,0.005063938,0.037723467
ENSG00000006788,10.25344847,3.169102485,1.067378051,2.969053449,0.002987186,0.025095363
ENSG00000008256,3716.565418,1.204630205,0.204288466,5.896711794,3.71E-09,1.89E-07
ENSG00000008311,721.9414187,1.10779922,0.169645698,6.530075526,6.57E-11,5.00E-09
ENSG00000009413,7584.974888,1.120089717,0.168354024,6.653180565,2.87E-11,2.39E-09
ENSG00000011198,1159.402959,1.089639715,0.202003263,5.394168881,6.88E-08,2.57E-06
ENSG00000012048,221.1096048,-1.209386274,0.173819178,-6.957726334,3.46E-12,3.48E-10
ENSG00000013293,244.4940065,-2.8369752,0.359762784,-7.885682815,3.13E-15,4.62E-13
ENSG00000013297,3431.544553,-1.716088921,0.263088948,-6.522846872,6.90E-11,5.21E-09
ENSG00000015520,17.51269025,-2.560382683,0.718642962,-3.56280214,0.000366917,0.004618442
ENSG00000016391,92.11010484,-2.043052619,0.453262552,-4.50743749,6.56E-06,0.000145404
ENSG00000019186,14.08751734,-4.429294606,1.036205768,-4.274531895,1.92E-05,0.000375234
ENSG00000020577,3104.999031,1.207115838,0.147996953,8.156356039,3.45E-16,5.94E-14
ENSG00000021645,35.95867833,1.869174282,0.629914977,2.967343771,0.003003849,0.025200856
ENSG00000023909,1927.703865,1.24618873,0.200005625,6.230768407,4.64E-10,2.94E-08
ENSG00000025423,169.2018165,-2.184449084,0.506073605,-4.316465163,1.59E-05,0.00031874
ENSG00000025708,144.6969864,1.274690029,0.312291925,4.08172587,4.47E-05,0.000772229
ENSG00000028277,34.45727202,-2.016482038,0.519974337,-3.878041463,0.000105301,0.001607889
ENSG00000035664,633.0396892,1.569461822,0.441527386,3.554619423,0.000378527,0.004751579
ENSG00000040731,72.26896636,-1.824467333,0.676829666,-2.69560781,0.007026034,0.04851309
ENSG00000041515,10.13165552,1.739159993,0.529035632,3.287415607,0.001011115,0.010645901
ENSG00000046653,1090.456439,2.584500782,0.765065676,3.37814238,0.000729773,0.008189377
ENSG00000048540,60.06514126,1.430896814,0.415211459,3.446188164,0.000568554,0.006628964
ENSG00000049246,196.0282656,-2.165377901,0.283212158,-7.645780169,2.08E-14,2.71E-12
ENSG00000049759,1212.977071,-1.081308139,0.193985475,-5.574170642,2.49E-08,1.05E-06
ENSG00000054938,93.37998264,-1.376821327,0.430047103,-3.201559356,0.001366859,0.013561805
ENSG00000055163,284.2309111,-1.011887955,0.259700298,-3.896368089,9.76E-05,0.001504728
ENSG00000056736,73.8580982,-1.016304802,0.281653935,-3.608345829,0.000308156,0.004003993
ENSG00000057657,212.5529497,1.270572272,0.297895659,4.265158743,2.00E-05,0.000388375
ENSG00000060718,363.7631441,2.382561959,0.646007925,3.688131162,0.000225907,0.00307654
ENSG00000061337,66.69093917,-1.012773663,0.229116247,-4.420348524,9.85E-06,0.000209544
ENSG00000064201,16.97969281,-1.600924845,0.457156302,-3.501920104,0.000461918,0.005625808
ENSG00000064309,348.4669034,-1.646490934,0.299223087,-5.502553134,3.74E-08,1.51E-06
ENSG00000065809,2255.373189,-1.013418222,0.182110798,-5.564844228,2.62E-08,1.09E-06
ENSG00000066468,28.70316094,-2.360114815,0.681547345,-3.462877279,0.000534432,0.006296588
ENSG00000067082,3242.401288,1.110434385,0.15537422,7.146838034,8.88E-13,1.02E-10
ENSG00000067798,705.2072819,2.258512091,0.385570131,5.8575909,4.70E-09,2.31E-07
ENSG00000068383,1247.239149,1.39524789,0.299886769,4.652582355,3.28E-06,8.00E-05
ENSG00000068831,97.80859655,1.956442157,0.319755898,6.118549081,9.44E-10,5.70E-08
ENSG00000069431,849.0972149,1.047202883,0.303881538,3.446089187,0.000568763,0.006628964
ENSG00000069535,394.7514576,1.206439171,0.38894113,3.101855466,0.001923118,0.017698263
ENSG00000070388,5.957669185,2.912918495,0.782996042,3.720221226,0.000199048,0.00276431
ENSG00000070404,2128.121776,1.865063921,0.299229663,6.232884484,4.58E-10,2.92E-08
ENSG00000070808,23.58529778,-2.264946785,0.410109444,-5.522786216,3.34E-08,1.36E-06
ENSG00000070882,1106.499129,-1.095462072,0.216235986,-5.066048866,4.06E-07,1.23E-05
ENSG00000071282,3659.862128,1.596199768,0.227835599,7.005927835,2.45E-12,2.52E-10
ENSG00000072163,665.1503927,1.302738139,0.331864565,3.925511422,8.65E-05,0.001356373
ENSG00000072571,36.62781715,1.54078072,0.305835232,5.037943836,4.71E-07,1.42E-05
ENSG00000072958,2129.433093,1.088513852,0.126830069,8.582458903,9.29E-18,1.90E-15
ENSG00000073756,71.61899716,-1.229098393,0.452017813,-2.719137072,0.006545248,0.046024817
ENSG00000074590,412.6398275,1.365475124,0.18982236,7.193436677,6.32E-13,7.41E-11
ENSG00000074660,29.00852214,1.334540589,0.334397539,3.990880416,6.58E-05,0.001078498
ENSG00000075213,714.2924227,-1.222370819,0.226526718,-5.396144134,6.81E-08,2.55E-06
ENSG00000075240,576.8346739,-1.155564895,0.192780178,-5.994210114,2.04E-09,1.11E-07
ENSG00000077063,329.8810958,-1.063639285,0.174075021,-6.110235001,9.95E-10,5.95E-08
ENSG00000077684,1570.633927,1.206879002,0.109734438,10.99817907,3.90E-28,2.76E-25
ENSG00000077943,468.3823236,1.099143709,0.320143665,3.433282711,0.00059632,0.006893429
ENSG00000078053,358.6889925,1.15004716,0.166872863,6.891756619,5.51E-12,5.23E-10
ENSG00000078114,7.623360024,3.308305535,1.202774883,2.750560875,0.005949334,0.042546399
ENSG00000079101,6.772466315,-2.972318298,0.8862902,-3.353662601,0.000797495,0.008793939
ENSG00000079435,31.52080045,1.037439929,0.346041611,2.998020747,0.002717392,0.023438299
ENSG00000079462,58.31163052,-1.033184212,0.208241192,-4.961478583,7.00E-07,2.00E-05
ENSG00000079691,1509.446609,1.177501886,0.193259288,6.092860526,1.11E-09,6.53E-08
ENSG00000081052,207.1345772,1.972799312,0.407428077,4.842079924,1.28E-06,3.45E-05
ENSG00000081320,1491.689983,1.11173638,0.296150904,3.75395234,0.000174068,0.002452534
ENSG00000082126,22.21247221,1.229279511,0.400694599,3.067871427,0.002155894,0.019532082
ENSG00000083223,1486.903832,1.123700771,0.175128779,6.41642554,1.40E-10,9.77E-09
ENSG00000083290,1522.661602,1.183376926,0.219353577,5.394837613,6.86E-08,2.57E-06
ENSG00000084090,3609.490275,1.270176763,0.19163031,6.628266508,3.40E-11,2.80E-09
ENSG00000084710,10.39574427,-2.68473758,0.670718603,-4.002777869,6.26E-05,0.001029318
ENSG00000085117,1911.078823,1.250940678,0.274806875,4.552071985,5.31E-06,0.000121366
ENSG00000087448,907.6579618,1.058444273,0.128137381,8.260230276,1.45E-16,2.65E-14
ENSG00000088756,685.720869,-1.480496404,0.453347588,-3.265698207,0.001091946,0.01134133
ENSG00000089041,96.75596293,-1.919058788,0.290634666,-6.602993418,4.03E-11,3.27E-09
ENSG00000091262,123.7641498,-1.032775285,0.250209094,-4.12764888,3.66E-05,0.000649561
ENSG00000091428,36.17768,-1.125692161,0.30976543,-3.634014812,0.000279045,0.003688881
ENSG00000091831,34.65494368,-1.240784492,0.418420984,-2.965397384,0.003022922,0.025314736
ENSG00000092621,1231.091887,-1.432245878,0.270449085,-5.295805967,1.18E-07,4.20E-06
ENSG00000092853,27.27816552,-1.145008102,0.361416446,-3.168112891,0.001534319,0.014844579
ENSG00000092969,200.644149,-1.581171652,0.290244991,-5.447713836,5.10E-08,1.99E-06
ENSG00000095585,21.11275632,-2.567078423,0.71957337,-3.567500593,0.000360403,0.004545762
ENSG00000095637,44.30566747,1.900967957,0.362365952,5.24598944,1.55E-07,5.33E-06
ENSG00000096060,2564.384375,3.938431015,0.296906744,13.26487559,3.70E-40,5.24E-37
ENSG00000097096,201.5841176,1.306250496,0.256180103,5.098953745,3.42E-07,1.07E-05
ENSG00000099194,785.2070764,-2.001143587,0.402568119,-4.970944026,6.66E-07,1.93E-05
ENSG00000099204,848.5848543,1.413160855,0.238058731,5.93618579,2.92E-09,1.51E-07
ENSG00000099337,530.0588494,2.807790785,0.364570788,7.701634032,1.34E-14,1.81E-12
ENSG00000099840,37.67557697,1.03630409,0.306583994,3.380163705,0.000724427,0.008139303
ENSG00000099849,42.79501012,1.220027966,0.353326069,3.452980328,0.000554429,0.006482424
ENSG00000099860,368.1581926,1.455893846,0.178399209,8.160876128,3.33E-16,5.78E-14
ENSG00000099998,506.243742,2.418855898,0.845832977,2.859732315,0.004239987,0.032847862
ENSG00000100033,55.36392009,4.960856307,0.6238379,7.952156008,1.83E-15,2.84E-13
ENSG00000100206,36.29875148,1.905040276,0.424833195,4.484207684,7.32E-06,0.000160633
ENSG00000100242,2236.242036,1.911110239,0.273296626,6.992805832,2.69E-12,2.74E-10
ENSG00000100292,2399.368902,-1.332423216,0.263552787,-5.0556218,4.29E-07,1.30E-05
ENSG00000100302,35.84451581,-1.981917066,0.451044742,-4.394058682,1.11E-05,0.000234141
ENSG00000100592,756.5396074,-1.002722964,0.184386978,-5.438144128,5.38E-08,2.09E-06
ENSG00000100739,134.5347303,-1.752139946,0.348179404,-5.032290607,4.85E-07,1.45E-05
ENSG00000100767,208.8129287,1.090903772,0.309109819,3.529178641,0.000416852,0.005162288
ENSG00000100784,87.3227602,-2.453654801,0.291992062,-8.403155854,4.35E-17,8.43E-15
ENSG00000101255,284.1699991,-1.102558665,0.272782249,-4.041900348,5.30E-05,0.000891652
ENSG00000101265,1645.90075,-1.081592613,0.395790243,-2.732741985,0.006280951,0.044486046
ENSG00000101342,42.90137769,4.186883486,0.507683709,8.247031387,1.62E-16,2.93E-14
ENSG00000101347,12703.41283,3.857750212,0.279324769,13.81098504,2.19E-43,4.03E-40
ENSG00000101825,4767.104691,-1.351522699,0.265260814,-5.095071065,3.49E-07,1.08E-05
ENSG00000101938,196.0140128,1.098465885,0.390410537,2.813617411,0.004898749,0.036718074
ENSG00000102385,110.9984314,-1.061565883,0.250039059,-4.245600223,2.18E-05,0.000419941
ENSG00000102466,664.6806452,1.207488484,0.326792474,3.694970296,0.000219912,0.00300645
ENSG00000102524,64.04147317,-1.713711601,0.282903642,-6.057580549,1.38E-09,7.95E-08
